tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt20221818,movie,Anima: My Father's Dresses,Anima: Die Kleider meines Vaters,0,2022,\N,95,Documentary,8.0,73
tt15204578,movie,Sunlight,Sunlight,0,2023,\N,95,Drama,8.0,88
tt23638356,movie,Den siste filmen,Den siste filmen,0,2023,\N,83,Documentary,8.0,80
tt22939052,movie,Puinhoop,Puinhoop,0,2022,\N,85,Documentary,8.0,75
tt27336198,movie,The Kujus Again,The Kujus Again,0,2023,\N,117,Drama,8.0,83
tt30223113,movie,"Glass, My Unfulfilled Life","Glass, My Unfulfilled Life",0,2023,\N,94,Documentary,8.0,53
tt29605067,movie,Kedicik,Kedicik,0,2023,\N,\N,Documentary,8.0,70
tt26658567,tvMovie,Favorite Son Christmas,Favorite Son Christmas,0,2023,\N,\N,Drama,8.0,69
tt32335214,movie,What Should We Have Done?,Dôsureba yokattaka?,0,2023,\N,102,Documentary,8.0,62
tt27881434,movie,Anxious in Beirut,Anxious in Beirut,0,2023,\N,93,Documentary,8.0,56
tt22778808,movie,Blue ID,Blue ID,0,2022,\N,85,Documentary,8.0,52
tt27127118,movie,The Invention of the Other,A Invenção do Outro,0,2023,\N,144,Documentary,8.0,58
tt30058081,movie,True Love: Making 'The Creator',True Love: Making 'The Creator',0,2023,\N,55,Documentary,8.0,55
tt28317366,movie,Kids in a Cage,Kids in a Cage,0,2023,\N,86,Documentary,8.0,74
tt22436930,movie,Bicycle Days,Bicycle Days,0,2023,\N,90,Drama,8.0,50
tt3264218,movie,Children of Las Brisas,Children of Las Brisas,0,2022,\N,97,Documentary,8.0,64
tt32553302,movie,"I Go Gaga: Welcome Home, Mom","Bokemasu kara, yoroshiku onegaishimasu. Okaeri okâsan",0,2022,\N,100,Documentary,8.0,50
tt9015962,movie,Borderlands,Borderlands,0,2021,\N,67,Documentary,8.0,71
tt7391064,movie,Petersburg,Petersburg,0,2021,\N,80,Documentary,8.0,66
tt7470986,movie,The Guest List,The Guest List,0,2022,\N,89,Documentary,8.0,56
tt13276440,movie,Hostile,Hostile,0,2022,\N,98,Documentary,7.9,79
tt13458080,movie,Liam White: The Forgettable Life of Liam White,Liam White: The Forgettable Life of Liam White,0,2021,\N,87,Drama,7.9,53
tt12163034,movie,Killing Kelly,Killing Kelly,0,2021,\N,65,Documentary,7.9,75
tt13236726,movie,An Intervention,An Intervention,0,2021,\N,100,Comedy,7.9,66
tt10889948,movie,You Are Not a Soldier,You Are Not a Soldier,0,2021,\N,110,Documentary,7.9,61
tt21226698,movie,Tales of the Purple House,Tales of the Purple House,0,2022,\N,184,Documentary,7.9,66
tt15832390,movie,A Father's Heart,Corazón de Padre,0,2022,\N,91,Documentary,7.9,66
tt14330866,movie,Sundarboner Goppo,Sundarboner Goppo,0,2021,\N,106,Drama,7.9,55
tt20851876,movie,Mom & Dad's Nipple Factory,Mom & Dad's Nipple Factory,0,2023,\N,81,Documentary,7.9,50
tt17939830,movie,I Stand Alone: The Sully Erna Story,I Stand Alone: The Sully Erna Story,0,2023,\N,\N,Documentary,7.9,64
tt20115184,movie,Mother Sky,Mother Sky,0,2022,\N,109,Drama,7.9,71
tt15846788,movie,Fioretta,Fioretta,0,2023,\N,127,Documentary,7.9,69
tt14824860,tvMovie,13 minut,13 minut,0,2021,\N,84,Documentary,7.9,79
tt14929346,tvMovie,Next Door: Love,Na Porta ao Lado: Amor,0,2021,\N,54,Drama,7.9,62
tt21156792,tvMovie,The Whistleblowers: Inside the UN,The Whistleblowers: Inside the UN,0,2022,\N,90,Documentary,7.9,52
tt19269218,movie,Delikado,Delikado,0,2022,\N,94,Documentary,7.9,81
tt19796824,movie,A Story of Bones,A Story of Bones,0,2022,\N,95,Documentary,7.9,70
tt21435030,movie,Milestone Generations,Milestone Generations,0,2022,\N,52,Documentary,7.9,55
tt27047366,movie,The Wall Street Boy,Kipkemboi,0,2023,\N,90,Drama,7.9,51
tt22008182,movie,If the Streets Were on Fire,If the Streets Were on Fire,0,2022,\N,70,Documentary,7.9,80
tt29669274,movie,Maria Callas Monica Bellucci: An encounter,Maria Callas: Letters and Memoirs,0,2023,\N,73,Documentary,7.9,72
tt28103086,movie,Peafowl,Peafowl,0,2022,\N,115,Drama,7.9,61
tt22534924,movie,Anna,Anna,0,2022,\N,97,Drama,7.9,58
tt29380630,movie,Ressignificar,Ressignificar,0,2023,\N,74,Documentary,7.9,69
tt23332766,movie,In the Mist,Niharika (In the Mist),0,2022,\N,123,Drama,7.9,74
tt12243398,movie,Kurt,Kurt,0,2021,\N,\N,Documentary,7.8,50
tt12991664,movie,Soula,Soula,0,2021,\N,92,Drama,7.8,70
tt13660090,movie,Sancocho presidencial,Sancocho presidencial,0,2021,\N,90,Comedy,7.8,51
